experiment_accession,experiment_alias,experiment_title,biosample_accession,run_accession,bytes,spots,library,assay_type,sample,lab_host
SRX25195685,octopus_run1_HepG2_B4,Multifunction library HEPG2 binding,SRS21884688,SRR29692500,283941691,4170116,Multifunction,Binding,HEPG2 (b),Homo sapiens HepG2 cells
SRX25195684,octopus_run1_HepG2_B3,Multifunction library HEPG2 binding,SRS21884688,SRR29692501,252502944,3730239,Multifunction,Binding,HEPG2 (b),Homo sapiens HepG2 cells
SRX25195683,octopus_run1_HepG2_B2,Multifunction library HEPG2 binding,SRS21884688,SRR29692502,295300503,4325509,Multifunction,Binding,HEPG2 (b),Homo sapiens HepG2 cells
SRX25195682,octopus_run1_HepG2_B1,Multifunction library HEPG2 binding,SRS21884688,SRR29692503,209895528,3070705,Multifunction,Binding,HEPG2 (b),Homo sapiens HepG2 cells
SRX25195681,IT-DNA-Shark3_2,Shark3 assessment library plasmid DNA,SRS21884672,SRR29692504,265144629,4595850,shark3,Plasmid DNA,missing,not applicable
SRX25195680,octopus_starter_3,Multifunction library virus DNA,SRS21884682,SRR29692505,473074693,8278184,Multifunction,Virus DNA,,Homo sapiens HEK293 cells
SRX25195679,octopus_starter_3_rerun,Multifunction library virus DNA,SRS21884682,SRR29692506,815627503,15821064,Multifunction,Virus DNA,,Homo sapiens HEK293 cells
SRX25195678,octopus_starter_2,Multifunction library virus DNA,SRS21884682,SRR29692507,664881296,11548348,Multifunction,Virus DNA,,Homo sapiens HEK293 cells
SRX25195677,octopus_starter_2_rerun,Multifunction library virus DNA,SRS21884682,SRR29692508,1141917762,22002357,Multifunction,Virus DNA,,Homo sapiens HEK293 cells
SRX25195676,octopus_starter_1,Multifunction library virus DNA,SRS21884682,SRR29692509,614448468,10717813,Multifunction,Virus DNA,,Homo sapiens HEK293 cells
SRX25195675,hammerhead_Spleen_a2_r3,Hammerhead library mouse spleen biodistribution,SRS21884663,SRR29692510,454273434,7420668,Hammerhead,Biodistribution,Spleen,Mus musculus
SRX25195674,hammerhead_Spleen_a2_r2,Hammerhead library mouse spleen biodistribution,SRS21884663,SRR29692512,124408084,2080061,Hammerhead,Biodistribution,Spleen,Mus musculus
SRX25195673,hammerhead_Spleen_a2_r1,Hammerhead library mouse spleen biodistribution,SRS21884663,SRR29692513,220569570,3712603,Hammerhead,Biodistribution,Spleen,Mus musculus
SRX25195672,hammerhead_Spleen_a1_r3,Hammerhead library mouse spleen biodistribution,SRS21884663,SRR29692514,258706251,4351552,Hammerhead,Biodistribution,Spleen,Mus musculus
SRX25195671,hammerhead_Spleen_a1_r2,Hammerhead library mouse spleen biodistribution,SRS21884663,SRR29692515,284108359,4831393,Hammerhead,Biodistribution,Spleen,Mus musculus
SRX25195670,hammerhead_Spleen_a1_r1,Hammerhead library mouse spleen biodistribution,SRS21884663,SRR29692516,588715998,9860529,Hammerhead,Biodistribution,Spleen,Mus musculus
SRX25195669,hammerhead_Liver_a4_r3,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692517,630071690,10550752,Hammerhead,Biodistribution,Liver,Mus musculus
SRX25195668,KC-DNA-Shark2_3,Shark2 modeling library plasmid DNA,SRS21884662,SRR29692438,383132127,6650312,shark2,Plasmid DNA,missing,not applicable
SRX25195667,f4f_nnk_Primary-human-brain-endo_2,NNK library hBMVEC binding,SRS21884687,SRR29692519,231452895,4293124,NNK,Binding,hBMVEC (b),Homo sapiens hBMVEC primary cells
SRX25195666,f4f_nnk_Primary-human-brain-endo_1,NNK library hBMVEC binding,SRS21884687,SRR29692520,219327114,4045766,NNK,Binding,hBMVEC (b),Homo sapiens hBMVEC primary cells
SRX25195665,f4f_nnk_C57-brain-endo-binding_3,NNK library mBMVEC binding,SRS21884686,SRR29692521,114637174,2103184,NNK,Binding,mBMVEC (b),Mus musculus mBMVEC primary cells
SRX25195664,f4f_nnk_C57-brain-endo-binding_2,NNK library mBMVEC binding,SRS21884686,SRR29692522,149707811,2769654,NNK,Binding,mBMVEC (b),Mus musculus mBMVEC primary cells
SRX25195663,f4f_nnk_C57-brain-endo-binding_1,NNK library mBMVEC binding,SRS21884686,SRR29692523,145495617,2709588,NNK,Binding,mBMVEC (b),Mus musculus mBMVEC primary cells
