task,model,split,test_role,held_out_animal,training_animals,random_state,train_rows,test_rows,ensemble_size,member_iterations,model_vs_heldout_pearson_r,model_vs_heldout_spearman_r,model_vs_heldout_r2,model_vs_heldout_mae,model_vs_heldout_rmse,training_mean_vs_heldout_pearson_r,model_vs_training_mean_pearson_r,disagreement_vs_absolute_error_pearson_r,model_vs_heldout_bootstrap_resamples,model_vs_heldout_bootstrap_confidence,model_vs_heldout_pearson_r_ci_low,model_vs_heldout_pearson_r_ci_high,model_vs_heldout_spearman_r_ci_low,model_vs_heldout_spearman_r_ci_high,model_vs_heldout_r2_ci_low,model_vs_heldout_r2_ci_high,model_vs_heldout_mae_ci_low,model_vs_heldout_mae_ci_high,model_vs_heldout_rmse_ci_low,model_vs_heldout_rmse_ci_high
brain,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a3,development_cross_animal_robustness,3,1|2|4,42,74638,17619,5,31|38|29|31|38,0.41207367600045364,0.4248042593164174,0.15227453936136304,0.7236279449394871,1.0172281134054197,0.5192596877007221,0.6191778235723756,0.1669248188590094,500,0.95,0.39818384578466154,0.4272998375672889,0.4126551474533578,0.4378507716289569,0.13679685349886428,0.16838022969383354,0.7126687953715823,0.7345829825494483,1.0004125644493909,1.0350231998198616
spinal_cord,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a3,development_cross_animal_robustness,3,1|2|4,42,74638,18140,5,31|38|29|31|38,0.3957843034784929,0.40858640188385364,0.09295528733602032,0.6263372897312872,0.8625325386865611,0.5248115451952735,0.6680601709300164,0.1413344794044992,500,0.95,0.38307260320531306,0.40964693012778397,0.39550183802665895,0.4209295764936392,0.07572470030517767,0.11016751029029392,0.6183697346443792,0.6346567384962627,0.8498123242651457,0.8757108319831821
liver,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a3,development_cross_animal_robustness,3,1|2|4,42,74638,17071,5,31|38|29|31|38,0.7154040534652768,0.7386594285860543,0.511111571537205,0.8384904432131092,1.1502678387822491,0.7529275846826302,0.8402419568844144,0.08890230607437485,500,0.95,0.7060337811534044,0.7225480293864563,0.7303679495142484,0.7463651658482584,0.49766751633228007,0.5213960084824637,0.8269961222214333,0.8505991434741219,1.1344044261645714,1.1665222394779975
heart,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a3,development_cross_animal_robustness,3,1|2|4,42,74638,19442,5,31|38|29|31|38,0.4079135359860961,0.3799300677678796,0.11579056398172116,0.5065548966940596,0.7125991775092642,0.5661228673468824,0.593695067250104,0.21467323074150083,500,0.95,0.39222452997532575,0.4235445402389112,0.36585071865370566,0.3931607585342114,0.0945807752083295,0.13493528146206807,0.49961918501527186,0.514548982147401,0.7015186203306979,0.7249546788039123
kidney,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a3,development_cross_animal_robustness,3,1|2|4,42,74638,19532,5,31|38|29|31|38,0.6285387463506722,0.6486895017563472,0.38011518225969854,0.6075867918570568,0.8095342688664174,0.7130458733637338,0.6877900948466085,0.03194413850569995,500,0.95,0.6187795401365057,0.6384358475643737,0.6394991881878866,0.6577263167882889,0.3687051864403092,0.39029949272843895,0.5997439913775259,0.6157141172773222,0.797717557804363,0.8209578012165698
brain,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a4,development_cross_animal_robustness,4,1|2|3,42,73553,18357,5,31|40|31|33|27,0.5538784863753464,0.5652592718523219,0.2966308137034478,0.6882990219618994,0.9490125267779356,0.6224487232638247,0.5765674132467357,0.1597016608446404,500,0.95,0.5415734165219324,0.5668859269884319,0.5544976768920529,0.5757122503979354,0.28444708155918424,0.310061785236146,0.6787806126874255,0.6975360509257084,0.9319943028342231,0.9647865249257529
spinal_cord,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a4,development_cross_animal_robustness,4,1|2|3,42,73553,18682,5,31|40|31|33|27,0.5705307207285657,0.6171693478645418,0.3078348900304041,0.6768091276507896,0.9559367980489545,0.6410669061537679,0.6065962726499045,0.167411849041728,500,0.95,0.5584667377771151,0.5820402036118666,0.607788879340197,0.6273225629547106,0.2964711611005283,0.3187952976939823,0.6676936437464707,0.687986518379312,0.9410967801881072,0.9738161575679007
liver,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a4,development_cross_animal_robustness,4,1|2|3,42,73553,18619,5,31|40|31|33|27,0.7853694515126716,0.8025961019301201,0.6165745532535692,0.7191272372045696,0.9804841540952139,0.8231210808561082,0.8225111856274955,0.0893401039114688,500,0.95,0.7791438941729275,0.791752071320476,0.7957665532228011,0.8091548872661072,0.6068488789769327,0.6264049066552972,0.7101310090077242,0.7281348634944873,0.9678042444576818,0.9926089735224516
heart,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a4,development_cross_animal_robustness,4,1|2|3,42,73553,19508,5,31|40|31|33|27,0.4584928558674502,0.4392620960459911,0.20526614288581058,0.6551693579709272,0.90966376367826,0.5954400686468404,0.5505175530103354,0.1650602929619115,500,0.95,0.4453293009894351,0.4725548852004462,0.4279247795436946,0.4501559276453418,0.19476554437444196,0.2163317423069208,0.6456031715021296,0.6635375634475462,0.893728939439993,0.923182063134274
kidney,shared_mlp_64_32_ensemble_5,distance-2-sequence-holdout__leave-one-animal-out__test-a4,development_cross_animal_robustness,4,1|2|3,42,73553,19433,5,31|40|31|33|27,0.6345508705405036,0.6507088737317043,0.3980883893950905,0.5676028120593202,0.7621622051441259,0.7285953352593058,0.6918783527067369,0.07833943246912867,500,0.95,0.6254397684294604,0.6446518431037896,0.6421061065143012,0.6600934951553,0.3872081190783233,0.40953576874062186,0.5599859872836792,0.574266513578285,0.7510129893156076,0.772747660039537
