experiment_accession,experiment_alias,experiment_title,biosample_accession,run_accession,bytes,spots,library,assay_type,sample,lab_host,project_role,fastq_url,fastq_md5,fastq_bytes
SRX25195563,hammerhead_Liver_a1_r3,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692622,527298311,8969785,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/022/SRR29692622/SRR29692622.fastq.gz,09cccd2305240e8480037183db621005,431866619
SRX25195564,hammerhead_Liver_a2_r1,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692621,536727091,8988849,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/021/SRR29692621/SRR29692621.fastq.gz,98167bc722a1d4d2a521d535461afc36,439008876
SRX25195565,hammerhead_Liver_a2_r2,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692620,526033394,8850793,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/020/SRR29692620/SRR29692620.fastq.gz,e583e94791341312318a8d77dd9a7538,429062655
SRX25195566,hammerhead_Liver_a2_r3,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692619,473257397,8011325,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/019/SRR29692619/SRR29692619.fastq.gz,c6d36015085e66110421ac2f805de513,385130319
SRX25195567,hammerhead_Liver_a3_r1,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692618,428349983,7244275,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/018/SRR29692618/SRR29692618.fastq.gz,6afcb9335d364161009fe2e27e508181,345041811
SRX25195568,hammerhead_Liver_a3_r2,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692617,111124953,1867965,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/017/SRR29692617/SRR29692617.fastq.gz,31192fdbe22dcd55673a209fd393866d,90107011
SRX25195570,hammerhead_Liver_a3_r3,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692615,119953084,2020796,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/015/SRR29692615/SRR29692615.fastq.gz,4f0e45d9a0b5eedc15aab948c57fc88b,97091429
SRX25195571,hammerhead_Liver_a4_r1,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692614,583388799,9819836,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/014/SRR29692614/SRR29692614.fastq.gz,b4ad4f50c82e040e9dff88eb52979f8e,468925554
SRX25195572,hammerhead_Liver_a4_r2,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692518,330262995,5571181,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/018/SRR29692518/SRR29692518.fastq.gz,44946ccec51806a7f1a0728dfcba955e,266074030
SRX25195669,hammerhead_Liver_a4_r3,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692517,630071690,10550752,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/017/SRR29692517/SRR29692517.fastq.gz,8155cb7f6a9be0116557b344ea52f751,499199861
