experiment_accession,experiment_alias,experiment_title,biosample_accession,run_accession,bytes,spots,library,assay_type,sample,lab_host,project_role,fastq_url,fastq_md5,fastq_bytes,kind,endpoint,biological_replicate,technical_replicate,production_round,reads_examined,valid_reads_all_7mer,whitelist_matched_reads,valid_fraction,whitelist_share_of_valid
SRX25195516,hammerhead_Kidney_a2_r3,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692669,416493652,6872364,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/069/SRR29692669/SRR29692669.fastq.gz,f250a67246e0119769234e7b83cc6129,326179264,organ,Kidney,2.0,3,,6872364,4165719,1689678,0.6061551745512898,0.4056149730694749
SRX25195517,hammerhead_Kidney_a3_r1,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692668,519962482,8763657,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/068/SRR29692668/SRR29692668.fastq.gz,80a7ab49fea04a74693c2375c9358002,393974530,organ,Kidney,3.0,1,,8763657,5655309,2294304,0.6453138227568697,0.4056902991507626
SRX25195518,hammerhead_Kidney_a3_r2,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692667,587787742,9924138,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/067/SRR29692667/SRR29692667.fastq.gz,643ab748f78b1b4081e166caa86bf38d,483821988,organ,Kidney,3.0,2,,9924138,6008298,2432218,0.6054226573632894,0.4048098146929463
SRX25195519,hammerhead_Kidney_a3_r3,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692666,628012161,10574486,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/066/SRR29692666/SRR29692666.fastq.gz,b466aad3f1611eaaaae4c5ecfc3d14e8,512146718,organ,Kidney,3.0,3,,10574486,6492877,2631367,0.6140134849107559,0.4052698056655008
SRX25195520,hammerhead_Kidney_a4_r1,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692665,610370416,10366601,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/065/SRR29692665/SRR29692665.fastq.gz,cc365d3396f863fc424548758ec6c944,489838303,organ,Kidney,4.0,1,,10366601,6526289,2648981,0.6295495505228763,0.40589391612905895
SRX25195521,hammerhead_Kidney_a4_r2,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692664,295627953,4975705,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/064/SRR29692664/SRR29692664.fastq.gz,0ac961a8d43940e6607b5cf41535572b,234797907,organ,Kidney,4.0,2,,4975705,3088786,1254526,0.6207735386241748,0.40615503955275634
SRX25195522,hammerhead_Kidney_a4_r3,Hammerhead library mouse kidney biodistribution,SRS21884664,SRR29692663,477775380,7845068,Hammerhead,Biodistribution,Kidney,Mus musculus,Kidney,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/063/SRR29692663/SRR29692663.fastq.gz,5e404908b216dd789f9772dcc11c8163,378189045,organ,Kidney,4.0,3,,7845068,4715288,1912610,0.6010512592115199,0.4056189144756375
SRX25195561,hammerhead_Liver_a1_r1,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692624,607457154,10327483,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/024/SRR29692624/SRR29692624.fastq.gz,c324ccb77304d7897fa28c6a59c16b91,497180254,organ,Liver,1.0,1,,10327483,6366739,2577111,0.6164850622363649,0.4047772336827377
SRX25195562,hammerhead_Liver_a1_r2,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692623,590201920,10012231,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/023/SRR29692623/SRR29692623.fastq.gz,8761c8508c0a34a5502c561759b6c921,483793613,organ,Liver,1.0,2,,10012231,6147726,2489079,0.6140215901930349,0.40487799879174835
SRX25195563,hammerhead_Liver_a1_r3,Hammerhead library mouse liver biodistribution,SRS21884670,SRR29692622,527298311,8969785,Hammerhead,Biodistribution,Liver,Mus musculus,Liver,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/022/SRR29692622/SRR29692622.fastq.gz,09cccd2305240e8480037183db621005,431866619,organ,Liver,1.0,3,,8969785,5541766,2244895,0.6178259568094442,0.40508657348578053
